Unnamed: 0,st_id,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,artist_group,index_community
2403,2yQf6b8hxahZaT5dHlWaB1,Raekwon,alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,68.0,511046.0,12.0,,2
2404,2EsmKkHsXK0WMNGOtIhbxr,McCoy Tyner,avant-garde jazz,contemporary post-bop,free jazz,hard bop,46.0,109595.0,11.0,,5
2405,4xNadaO5ZZLVJdqDIVVIua,Electric Six,alternative rock,dance-punk,garage rock,,48.0,138893.0,9.0,,7
2406,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker,adult standards,cool jazz,jazz,jazz trumpet,63.0,878790.0,12.0,,5
2407,7xGGqA85UIWX1GoTVM4itC,The Staple Singers,chicago soul,classic soul,funk,memphis soul,56.0,294518.0,14.0,,4
2408,37w38cCSGgKLdayTRjna4W,Mazzy Star,alternative rock,art pop,dream pop,melancholia,65.0,769289.0,6.0,,7
2409,2idymNTKUdnTxforkb12Mw,Matthew Sweet,alternative country,alternative pop,alternative rock,jangle pop,41.0,62708.0,6.0,,7
2410,3Pr8cEt7dpcgXRnMV0sFdy,Lamya,,,,,4.0,646.0,9.0,,6
2411,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,east coast hip hop,hip hop,rap,,84.0,7617301.0,17.0,,2
2412,1W9aLbgLrFbdqS01gR7yWD,Lee Hyun Woo,korean r&b,,,,23.0,10100.0,10.0,,1
2413,60c65l7NQO8nOW9Uf5xswu,Song Seung Heon,,,,,9.0,884.0,9.0,,1
2414,4J3wzDMI97AlGimdiVcaLb,Crazy Frog,eurodance,,,,56.0,328857.0,4.0,,0
2415,1y20PpXw0yeuJ1avCD0Ob9,Eamon,,,,,51.0,62686.0,17.0,,6
2416,37tYw03HDBaE0o4JtP2ZVc,SOYA,,,,,24.0,7686.0,12.0,,1
2417,7urq0VfqxEYEEiZUkebXT4,112,atl hip hop,boy band,contemporary r&b,dance pop,64.0,996811.0,17.0,,6
2418,0fuhKCdVeCmWrMDZiwsQl6,Nguyễn Ánh 9,viet instrumental,,,,7.0,395.0,12.0,,10
2419,7mZvWxGgI4wXWJ4LKHnQ6T,Joy,new italo disco,,,,40.0,5891.0,4.0,,4
2420,4NXiJRheKGsTycUmPwtwSP,Chihiro Onitsuka,j-pop,japanese singer-songwriter,,,44.0,144183.0,14.0,,12
2421,3GpVyeVrpcfBYS6h1t4Zcl,Xuân Khôi,,,,,1.0,7.0,0.0,,10
2422,5M5PjPSiKeXynM6Ohu350r,O-Zone,bubblegum dance,eurodance,europop,moldovan pop,57.0,91789.0,14.0,,6
2423,3x6FwiNj93pnxxMDNRA1IR,Hồ Quang Hiếu,v-pop,,,,31.0,244144.0,19.0,Pop sến loại 1,3
2424,5bshmv1cQuPIB1bpGyKAkI,Titanium,,,,,17.0,5140.0,6.0,,6
2425,1b1C1dIHu4CyFjXWRPuVpF,Tô Gia Tuấn,,,,,3.0,14.0,15.0,,3
2426,7rETVFaF9VOFPmmzsY3kO6,Wilbert Harrison,rhythm and blues,rock-and-roll,rockabilly,,37.0,8010.0,12.0,,5
2427,2LV7OpzgkWJ6aK6TTmD1oV,HKT,v-pop,,,,24.0,26667.0,20.0,,3
2428,1cjZk1xXn3YCToNg3uJpA7,Mary Wells,brill building pop,classic soul,funk,motown,51.0,264987.0,12.0,,4
2429,4CLiTYTMKy6qcz0KXbuMqh,Tieu Chau Nhu Quynh,vietnamese singer-songwriter,,,,18.0,1154.0,16.0,,3
2430,7mKD0NMI25gUcefuBhKL3D,Ho Vinh Khoa,v-pop,,,,1.0,597.0,10.0,Pop sôi động Flop,3
2431,4IhSSd6Jm0S26OVdhQrAAp,Hà Linh,,,,,8.0,2.0,0.0,,3
2432,6soTRnKMbZaRHpjj7YTLwG,Tố Nga,,,,,5.0,382.0,10.0,,10
2433,78V8ayqVfPqQ0WqaJQo1LX,Tô Tài Năng,,,,,0.0,7.0,0.0,,3
2434,62BcWP4fzR8axESibNQEhs,Butthole Surfers,alternative rock,experimental rock,grunge,noise rock,51.0,281403.0,2.0,,7
2435,06L7OGzZECfgaqw12CU7X6,Tố Uyên,,,,,0.0,1.0,0.0,,10
2436,3CYSRCHfilgR8DSbkCMp5j,Cowboy Junkies,alternative country,classic canadian rock,country rock,folk,47.0,156710.0,5.0,,6
2437,5AEG63ajney2BoDXi0Vb84,Bad Company,album rock,blues rock,classic rock,country rock,59.0,916813.0,6.0,,4
2438,5ixB75BQR3ADoWQkcHQJTs,Gene Autry,adult standards,cowboy western,oklahoma country,traditional country,43.0,52851.0,14.0,,5
2439,5DgjOwTN6o76J5Gf8MzEoL,P.M. Dawn,contemporary r&b,,,,45.0,111575.0,7.0,,6
2440,6SPpCqM8gOzrtICAxN5NuX,Tito Puente,afro-cuban percussion,jazz puertorriqueno,latin jazz,mambo,49.0,158094.0,7.0,,5
2441,16nn7kCHPWIB6uK09GQCNI,Social Distortion,punk,punk 'n' roll,skate punk,socal pop punk,56.0,557473.0,8.0,,14
2442,0MponVSpW81oLvJZ53vYZH,The Marvelettes,brill building pop,classic girl group,classic soul,motown,49.0,303423.0,10.0,,4
2443,5XILwCCPqHHh1JRnMfzblg,"Lambert, Hendricks & Ross",vocal harmony group,vocal jazz,,,32.0,13425.0,6.0,,5
2444,0oht2BRls39aX1yU9jhZWr,Quốc Dũng,,,,,0.0,81.0,15.0,,10
2445,3G1YSHFlE2ZU6aoKGcZ7Qb,Thanh Long Bass,,,,,5.0,213.0,17.0,,10
2446,4Dn1O9AjeC2C8cA0HA7yFd,Nhật Hạ,,,,,1.0,81.0,17.0,,10
2447,55U98QFBJAkjC7bDfpVqtg,Trịnh Nam Sơn,vietnamese pop,,,,23.0,1678.0,17.0,,10
2448,5pYdbi32d0mNikKe3nPFRf,Nguyệt Ca,,,,,2.0,64.0,15.0,,10
2449,3rfgbfpPSfXY40lzRK7Syt,Barry White,adult standards,disco,quiet storm,soul,64.0,1565167.0,15.0,,4
