st_id,duplicates,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,degree,in_degree,out_degree,level_popularity,community,artist_group,group,count
5aDKJuLDczfmHfRSOmHCJk,1.0,Étienne Daho,chanson,french indie pop,french pop,french rock,47.0,133351.0,7.0,24,17,7,24.0,18,,,1.0
2yrbLiuBmc9j81lTX3XUuI,1.0,The Jacksons,disco,funk,motown,quiet storm,60.0,1471587.0,16.0,41,17,24,32.0,3,,,40.0
1Mpe1F54BIyYWIVrZKBv6Y,1.0,Daniel Seavey,,,,,20.0,58008.0,1.0,2,1,1,16.0,13,,,21.0
7pDnkvo4I1Esv7dZ4WFKv7,1.0,Dreamtale,finnish power metal,melodic metal,neo classical metal,power metal,34.0,29747.0,3.0,12,9,3,16.0,3,,,13.0
1MZ8NERIuOS610KBhr6yna,1.0,Tygers Of Pan Tang,album rock,hard rock,metal,modern hard rock,40.0,47852.0,7.0,20,13,7,24.0,3,,,13.0
23kP8xlQifcAV4nd84iHbW,1.0,Trey Lorenz,contemporary r&b,urban contemporary,,,47.0,11449.0,8.0,13,4,9,24.0,3,,,239.0
7uUBTiZ2u5b40vymlFmXrn,1.0,George Shearing,bebop,cool jazz,jazz,jazz piano,45.0,31471.0,8.0,20,12,8,24.0,7,,,7.0
4npN9NLDTitqe7UKQj5lxY,1.0,Virgin Steele,melodic metal,metal,neo classical metal,neo-trad metal,27.0,34141.0,5.0,13,8,5,16.0,3,,,1.0
3s6SVwL2W0JLnIlwkjnU55,1.0,Kill Hannah,electronic rock,electropowerpop,screamo,,30.0,30306.0,10.0,13,3,10,16.0,14,,,2.0
534fXkMORgK19f3l0V11aJ,1.0,Silentium,gothic metal,gothic symphonic metal,,,17.0,6940.0,2.0,2,0,2,8.0,14,,,9.0
5OLgWkV7opwcxN7zOhKb6g,1.0,Skinless,brutal death metal,death metal,new york death metal,,33.0,54385.0,1.0,3,2,1,16.0,14,,,3.0
6kduGaK3AJ5GASxqOOv4zL,1.0,LIME,,,,,7.0,580.0,0.0,18,4,14,8.0,1,V-pop Mainstream,6.0,4207.0
1WV0pMUfO5UZ3MXfZrTohr,1.0,Naglfar,black metal,dark black metal,melodic black metal,swedish black metal,28.0,49786.0,2.0,8,6,2,16.0,14,,,9.0
37J1PlAkhRK7yrZUtqaUpQ,1.0,Caravan Palace,electro swing,nu jazz,,,60.0,921636.0,1.0,4,3,1,32.0,22,,,204.0
1DKIdDHKHi3rIwG4UB5zLE,1.0,Don Malik,k-rap,korean underground rap,,,34.0,9870.0,13.0,89,76,13,16.0,2,,,2.0
1Tsag5J854qxeOo2apszug,1.0,Silverstein,canadian post-hardcore,canadian rock,metalcore,pop punk,59.0,621767.0,8.0,20,12,8,24.0,14,,,1.0
3qnGvpP8Yth1AqSBMqON5x,1.0,Leon Bridges,modern blues,,,,71.0,1445768.0,9.0,46,17,29,32.0,0,,,1136.0
0dHvirg8EyKQt9oIi09RPW,1.0,Shamir,,,,,7.0,163.0,0.0,2,1,1,8.0,0,,,1.0
6Yae9Ia1nq6JLLojBzwN1r,1.0,HNNY,deep house,electronica,float house,indie soul,53.0,114547.0,1.0,5,4,1,24.0,12,,,1.0
5Og6nZz1nu8t85wrlXREqC,2.0,Copy,bitpop,,,,12.0,2808.0,1.0,1,0,1,8.0,5,,,1.0
3t66HrWji19Ey3uJE2DSyC,3.0,Moonshine,slap house,,,,56.0,3862.0,8.0,39,5,34,24.0,0,,,1467.0
6rAZ6OYwAXqykSlPxqGy8E,1.0,Penguin Cafe Orchestra,art rock,bow pop,compositional ambient,,42.0,111532.0,3.0,5,2,3,24.0,5,,,6.0
3cE7UG46bdFd8gHHgzyQEz,1.0,Herb Ellis,jazz guitar,,,,35.0,19778.0,5.0,10,5,5,16.0,7,,,79.0
0nhDd1RWjZ6SDV1Vg1Ku2Q,1.0,Corey Taylor,alternative metal,alternative rock,nu metal,rap rock,55.0,402170.0,9.0,13,4,9,24.0,14,,,1.0
4YLtscXsxbVgi031ovDDdh,1.0,Chris Stapleton,contemporary country,outlaw country,,,77.0,4837698.0,10.0,26,6,20,32.0,23,,,546.0
1kRAEGaUtNr7nlWqjsQJIT,2.0,Âu Nam Thái,,,,,1.0,35.0,0.0,76,39,37,8.0,4,Pop sến loại 2,0.0,201833.0
5IMqlLTF7xWq8dUkvSaHLA,1.0,Laysha,k-pop girl group,,,,25.0,43005.0,14.0,43,29,14,16.0,2,,,26.0
4WnO2VmlwdTX77ANsThWLQ,1.0,CODE KUNST,k-rap,korean r&b,,,46.0,217538.0,15.0,38,23,15,24.0,2,,,311.0
5xNWQgdUZS4YN7xAYItpKi,1.0,Chamsom,k-indie,,,,30.0,16355.0,18.0,44,22,22,16.0,2,,,251.0
6TNCXf7mF32KXkKi9DsN8l,1.0,LONG:D,,,,,16.0,182.0,15.0,15,0,15,8.0,2,,,119.0
4qePpNHjKB8UZmHBwyWJnb,1.0,Patients,korean indie rock,,,,0.0,77.0,8.0,8,0,8,8.0,12,,,1.0
7nt0qjrHar6VmvNDNZV05q,1.0,Thảo Hồ,,,,,0.0,1.0,0.0,19,3,16,8.0,1,,,1286.0
2jJeQDdUg6kusdYtuHBgq4,1.0,Nguyen Chan Thanh,,,,,0.0,8.0,0.0,8,1,7,8.0,1,,,2444.0
